time,Y,m,d,H,M,S,w,yweek,yday
1434790794,2015,06,20,16,59,54,6,24,171
1434788384,2015,06,20,16,19,44,6,24,171
1434808408,2015,06,20,21,53,28,6,24,171
1434944674,2015,06,22,11,44,34,1,25,173
1434939359,2015,06,22,10,15,59,1,25,173
1434946559,2015,06,22,12,15,59,1,25,173
1434942201,2015,06,22,11,03,21,1,25,173
1434944731,2015,06,22,11,45,31,1,25,173
1434807572,2015,06,20,21,39,32,6,24,171
1434947834,2015,06,22,12,37,14,1,25,173
1434884931,2015,06,21,19,08,51,0,25,172
1434946642,2015,06,22,12,17,22,1,25,173
1434946559,2015,06,22,12,15,59,1,25,173
1434945495,2015,06,22,11,58,15,1,25,173
1434948585,2015,06,22,12,49,45,1,25,173
1434948557,2015,06,22,12,49,17,1,25,173
1434949274,2015,06,22,13,01,14,1,25,173
1434948541,2015,06,22,12,49,01,1,25,173
1434891615,2015,06,21,21,00,15,0,25,172
1434950051,2015,06,22,13,14,11,1,25,173
1434893876,2015,06,21,21,37,56,0,25,172
1434949905,2015,06,22,13,11,45,1,25,173
1434890900,2015,06,21,20,48,20,0,25,172
1434945846,2015,06,22,12,04,06,1,25,173
1434948585,2015,06,22,12,49,45,1,25,173
1434896524,2015,06,21,22,22,04,0,25,172
1434949264,2015,06,22,13,01,04,1,25,173
1434951385,2015,06,22,13,36,25,1,25,173
1434951847,2015,06,22,13,44,07,1,25,173
1434951372,2015,06,22,13,36,12,1,25,173
1434910692,2015,06,22,02,18,12,1,25,173
1434851849,2015,06,21,09,57,29,0,25,172
1434949751,2015,06,22,13,09,11,1,25,173
1434954436,2015,06,22,14,27,16,1,25,173
1434950778,2015,06,22,13,26,18,1,25,173
1434953294,2015,06,22,14,08,14,1,25,173
1434952453,2015,06,22,13,54,13,1,25,173
1434902030,2015,06,21,23,53,50,0,25,172
1434952284,2015,06,22,13,51,24,1,25,173
1434931012,2015,06,22,07,56,52,1,25,173
1434858391,2015,06,21,11,46,31,0,25,172
1434959255,2015,06,22,15,47,35,1,25,173
1434959803,2015,06,22,15,56,43,1,25,173
1434898505,2015,06,21,22,55,05,0,25,172
1434955087,2015,06,22,14,38,07,1,25,173
1434905033,2015,06,22,00,43,53,1,25,173
1434937384,2015,06,22,09,43,04,1,25,173
1434956502,2015,06,22,15,01,42,1,25,173
1434898301,2015,06,21,22,51,41,0,25,172
1434904167,2015,06,22,00,29,27,1,25,173
1434955574,2015,06,22,14,46,14,1,25,173
1434959362,2015,06,22,15,49,22,1,25,173
1434940978,2015,06,22,10,42,58,1,25,173
1434961002,2015,06,22,16,16,42,1,25,173
1434932877,2015,06,22,08,27,57,1,25,173
1434960625,2015,06,22,16,10,25,1,25,173
1434933604,2015,06,22,08,40,04,1,25,173
1434941658,2015,06,22,10,54,18,1,25,173
1434907363,2015,06,22,01,22,43,1,25,173
1434960986,2015,06,22,16,16,26,1,25,173
1434867971,2015,06,21,14,26,11,0,25,172
1434863130,2015,06,21,13,05,30,0,25,172
1434956946,2015,06,22,15,09,06,1,25,173
1434807516,2015,06,20,21,38,36,6,24,171
1434934748,2015,06,22,08,59,08,1,25,173
1434961342,2015,06,22,16,22,22,1,25,173
1434956268,2015,06,22,14,57,48,1,25,173
1434828911,2015,06,21,03,35,11,0,25,172
1434965885,2015,06,22,17,38,05,1,25,173
1434962727,2015,06,22,16,45,27,1,25,173
1434964693,2015,06,22,17,18,13,1,25,173
1434937662,2015,06,22,09,47,42,1,25,173
1434962418,2015,06,22,16,40,18,1,25,173
1434964652,2015,06,22,17,17,32,1,25,173
1434963371,2015,06,22,16,56,11,1,25,173
1434962980,2015,06,22,16,49,40,1,25,173
1434962613,2015,06,22,16,43,33,1,25,173
1434967592,2015,06,22,18,06,32,1,25,173
1434961151,2015,06,22,16,19,11,1,25,173
1434814166,2015,06,20,23,29,26,6,24,171
1434965816,2015,06,22,17,36,56,1,25,173
1434972295,2015,06,22,19,24,55,1,25,173
1434847937,2015,06,21,08,52,17,0,25,172
1434964759,2015,06,22,17,19,19,1,25,173
1434875668,2015,06,21,16,34,28,0,25,172
1434953882,2015,06,22,14,18,02,1,25,173
1434938425,2015,06,22,10,00,25,1,25,173
1434954040,2015,06,22,14,20,40,1,25,173
1434968136,2015,06,22,18,15,36,1,25,173
1434970017,2015,06,22,18,46,57,1,25,173
1434848193,2015,06,21,08,56,33,0,25,172
1434964800,2015,06,22,17,20,00,1,25,173
1434974450,2015,06,22,20,00,50,1,25,173
1434969508,2015,06,22,18,38,28,1,25,173
1434969210,2015,06,22,18,33,30,1,25,173
1434971316,2015,06,22,19,08,36,1,25,173
1434881076,2015,06,21,18,04,36,0,25,172
1434951138,2015,06,22,13,32,18,1,25,173
1434972148,2015,06,22,19,22,28,1,25,173
1434969731,2015,06,22,18,42,11,1,25,173
1434975004,2015,06,22,20,10,04,1,25,173
1434971315,2015,06,22,19,08,35,1,25,173
1434975480,2015,06,22,20,18,00,1,25,173
1434972009,2015,06,22,19,20,09,1,25,173
1434972739,2015,06,22,19,32,19,1,25,173
1434959644,2015,06,22,15,54,04,1,25,173
1434980535,2015,06,22,21,42,15,1,25,173
1434886795,2015,06,21,19,39,55,0,25,172
1434983002,2015,06,22,22,23,22,1,25,173
1434977628,2015,06,22,20,53,48,1,25,173
1434975426,2015,06,22,20,17,06,1,25,173
1434979587,2015,06,22,21,26,27,1,25,173
1434981329,2015,06,22,21,55,29,1,25,173
1434981698,2015,06,22,22,01,38,1,25,173
1434884196,2015,06,21,18,56,36,0,25,172
1434978283,2015,06,22,21,04,43,1,25,173
1434860717,2015,06,21,12,25,17,0,25,172
1434860549,2015,06,21,12,22,29,0,25,172
1434978875,2015,06,22,21,14,35,1,25,173
1434975098,2015,06,22,20,11,38,1,25,173
1434978888,2015,06,22,21,14,48,1,25,173
1434975764,2015,06,22,20,22,44,1,25,173
1434981617,2015,06,22,22,00,17,1,25,173
1434978529,2015,06,22,21,08,49,1,25,173
1434983578,2015,06,22,22,32,58,1,25,173
1434977620,2015,06,22,20,53,40,1,25,173
1434982637,2015,06,22,22,17,17,1,25,173
1434981554,2015,06,22,21,59,14,1,25,173
1434978957,2015,06,22,21,15,57,1,25,173
1435004985,2015,06,23,04,29,45,2,25,174
1434965672,2015,06,22,17,34,32,1,25,173
1434888644,2015,06,21,20,10,44,0,25,172
1434987379,2015,06,22,23,36,19,1,25,173
1434959275,2015,06,22,15,47,55,1,25,173
1434985108,2015,06,22,22,58,28,1,25,173
1434983690,2015,06,22,22,34,50,1,25,173
1434893500,2015,06,21,21,31,40,0,25,172
1434861548,2015,06,21,12,39,08,0,25,172
1435005659,2015,06,23,04,40,59,2,25,174
1435001071,2015,06,23,03,24,31,2,25,174
1434984477,2015,06,22,22,47,57,1,25,173
1435016138,2015,06,23,07,35,38,2,25,174
1434998122,2015,06,23,02,35,22,2,25,174
1434865771,2015,06,21,13,49,31,0,25,172
1434986134,2015,06,22,23,15,34,1,25,173
1434978935,2015,06,22,21,15,35,1,25,173
1434994754,2015,06,23,01,39,14,2,25,174
1434959067,2015,06,22,15,44,27,1,25,173
1434987150,2015,06,22,23,32,30,1,25,173
1434980347,2015,06,22,21,39,07,1,25,173
1434990280,2015,06,23,00,24,40,2,25,174
1435014687,2015,06,23,07,11,27,2,25,174
1435020713,2015,06,23,08,51,53,2,25,174
1434988830,2015,06,23,00,00,30,2,25,174
1435014987,2015,06,23,07,16,27,2,25,174
1434991494,2015,06,23,00,44,54,2,25,174
1434896469,2015,06,21,22,21,09,0,25,172
1435017439,2015,06,23,07,57,19,2,25,174
1434992305,2015,06,23,00,58,25,2,25,174
1434998634,2015,06,23,02,43,54,2,25,174
1435021214,2015,06,23,09,00,14,2,25,174
1435017106,2015,06,23,07,51,46,2,25,174
1435019425,2015,06,23,08,30,25,2,25,174
1434906774,2015,06,22,01,12,54,1,25,173
1434974303,2015,06,22,19,58,23,1,25,173
1435022242,2015,06,23,09,17,22,2,25,174
1435025310,2015,06,23,10,08,30,2,25,174
1435018556,2015,06,23,08,15,56,2,25,174
1435020796,2015,06,23,08,53,16,2,25,174
1435021296,2015,06,23,09,01,36,2,25,174
1435025625,2015,06,23,10,13,45,2,25,174
1435023884,2015,06,23,09,44,44,2,25,174
1435018689,2015,06,23,08,18,09,2,25,174
1435017951,2015,06,23,08,05,51,2,25,174
1435013741,2015,06,23,06,55,41,2,25,174
1435026869,2015,06,23,10,34,29,2,25,174
1435021646,2015,06,23,09,07,26,2,25,174
1435019181,2015,06,23,08,26,21,2,25,174
1435028095,2015,06,23,10,54,55,2,25,174
1435028032,2015,06,23,10,53,52,2,25,174
1435021027,2015,06,23,08,57,07,2,25,174
1435018480,2015,06,23,08,14,40,2,25,174
1435027989,2015,06,23,10,53,09,2,25,174
1435030222,2015,06,23,11,30,22,2,25,174
1435021807,2015,06,23,09,10,07,2,25,174
1435030507,2015,06,23,11,35,07,2,25,174
1434979077,2015,06,22,21,17,57,1,25,173
1434871764,2015,06,21,15,29,24,0,25,172
1435021410,2015,06,23,09,03,30,2,25,174
1435025438,2015,06,23,10,10,38,2,25,174
1435018030,2015,06,23,08,07,10,2,25,174
1435023843,2015,06,23,09,44,03,2,25,174
1435037755,2015,06,23,13,35,55,2,25,174
1435019220,2015,06,23,08,27,00,2,25,174
1435026049,2015,06,23,10,20,49,2,25,174
1434874272,2015,06,21,16,11,12,0,25,172
1435034047,2015,06,23,12,34,07,2,25,174
1435037712,2015,06,23,13,35,12,2,25,174
1434875437,2015,06,21,16,30,37,0,25,172
1435032722,2015,06,23,12,12,02,2,25,174
1434984764,2015,06,22,22,52,44,1,25,173
1435022635,2015,06,23,09,23,55,2,25,174
1434980836,2015,06,22,21,47,16,1,25,173
1435031971,2015,06,23,11,59,31,2,25,174
1435027942,2015,06,23,10,52,22,2,25,174
1434935871,2015,06,22,09,17,51,1,25,173
1435034773,2015,06,23,12,46,13,2,25,174
1435026996,2015,06,23,10,36,36,2,25,174
1435038372,2015,06,23,13,46,12,2,25,174
1435042965,2015,06,23,15,02,45,2,25,174
1434974169,2015,06,22,19,56,09,1,25,173
1435047356,2015,06,23,16,15,56,2,25,174
1435041749,2015,06,23,14,42,29,2,25,174
1435033631,2015,06,23,12,27,11,2,25,174
1435040667,2015,06,23,14,24,27,2,25,174
1434992685,2015,06,23,01,04,45,2,25,174
1435033988,2015,06,23,12,33,08,2,25,174
1435044471,2015,06,23,15,27,51,2,25,174
1434879372,2015,06,21,17,36,12,0,25,172
1434879260,2015,06,21,17,34,20,0,25,172
