stid,stname,province,city,district,address,longitude,latitude,user_id,platform,create_time,goods_name,goods_number,market_price,actual_price,subtotal,date,num
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,385657,1001,1456847360,oil93,57.189394,52800,50800,29052,2016/03/01,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,481940,1001,1456900507,国五92#车用汽油,30.349014,65900,60900,18925,2016/03/02,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,481988,1001,1456903363,国五92#车用汽油,31.007752,64500,64000,19427,2016/03/02,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,482229,1001,1456915004,国五95#车用汽油,40.662651,66400,65900,26514,2016/03/02,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,481988,3001,1456975040,oil93,37.037037,54000,53000,19630,2016/03/03,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,421717,1001,1457052647,国五92#车用汽油,15.174507,65900,60900,9104,2016/03/04,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,416113,3001,1457107749,国五95#车用汽油,21.008403,71400,69400,14504,2016/03/05,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,484095,1001,1457069869,国五92#车用汽油,50.381679,65500,64500,32409,2016/03/04,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,486364,1001,1457234400,oil93,44.802867,55800,52800,23656,2016/03/06,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,353636,1001,1457252849,国五92#车用汽油,60.698027,65900,63900,38566,2016/03/06,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,486150,1001,1457225351,oil93,24.850895,50300,50000,12425,2016/03/06,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,488039,1001,1457341904,国五92#车用汽油,25.862069,58000,57000,14727,2016/03/07,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,481066,3001,1457596620,oil93,37.037037,54000,53000,19630,2016/03/10,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,488903,1001,1457414365,国五92#车用汽油,35.705341,54300,54300,19094,2016/03/08,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,488781,1001,1457406696,oil98,183.486239,43600,42100,77248,2016/03/08,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,491284,1001,1457596007,国五95#车用汽油,56.022409,71400,70400,39405,2016/03/10,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,360489,1001,1457495086,国五92#车用汽油,27.027027,55500,54500,14446,2016/03/09,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,481066,3001,1457596280,京五92#汽油,29.574861,54100,54100,16000,2016/03/10,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,488039,1001,1457751003,国五92#车用汽油,63.063063,55500,54500,33708,2016/03/12,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,488903,1001,1457681867,oil93,18.587361,53800,52800,9814,2016/03/11,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,495245,1001,1457852036,国五92#车用汽油,37.722132,61900,61900,23350,2016/03/13,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,496296,1001,1457928962,国五95#车用汽油,28.011204,71400,70600,19736,2016/03/14,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,488903,1001,1458107134,国五92#车用汽油,37.936267,65900,60900,22760,2016/03/16,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,498413,1001,1458083121,国五92#车用汽油,16.694491,59900,58400,9713,2016/03/16,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,502572,1001,1458359983,oil93,66.355140,53500,51500,34173,2016/03/19,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,453064,1001,1458261757,oil93,49.701789,50300,50000,24851,2016/03/18,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,501751,1001,1458297258,oil93,29.224652,50300,50000,14612,2016/03/18,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,465815,1001,1458624756,国五95#车用汽油,56.022409,71400,70600,39471,2016/03/22,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,510018,1001,1458815655,国五92#车用汽油,61.338290,53800,51800,31773,2016/03/24,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,426647,3001,1458615166,国五95#车用汽油,28.011204,71400,69400,19339,2016/03/22,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,481066,3001,1458636034,国五95#车用汽油,60.924370,71400,69400,42756,2016/03/22,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,498413,1001,1458880693,国五95#车用汽油,45.225225,55500,54500,24648,2016/03/25,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,513457,1001,1459002293,国五92#车用汽油,52.083333,52800,52000,27083,2016/03/26,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,515562,1001,1459144717,国五92#车用汽油,27.419355,55800,45800,12558,2016/03/28,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,481066,3001,1459239069,国五92#车用汽油,30.303030,52800,52000,15758,2016/03/29,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,483507,1001,1459175209,沪五92#汽油,37.523452,53300,52300,19625,2016/03/28,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,495245,1001,1459244690,国五92#车用汽油,38.728324,51900,50400,19519,2016/03/29,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,488781,1001,1459211672,国五92#车用汽油,35.242291,45400,44400,15648,2016/03/29,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,348544,1001,1459402048,国五92#车用汽油,47.491039,55800,52800,25075,2016/03/31,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,521064,1001,1459492499,沪五92#汽油,52.532833,53300,53300,28000,2016/04/01,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,520453,1001,1459457561,国五95#车用汽油,34.188034,58500,57500,19658,2016/04/01,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,521683,1001,1459510466,国五92#车用汽油,18.939394,52800,52800,10000,2016/04/01,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,521683,1001,1459605847,沪五92#汽油,32.588454,53700,53500,17435,2016/04/02,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,526516,1001,1459747468,国五95#车用汽油,49.586777,60500,50500,25041,2016/04/04,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,528432,1001,1459852202,国四93#车用汽油,34.444444,54000,53000,18256,2016/04/05,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,526187,1001,1459734666,国五95#车用汽油,16.528926,60500,57500,9504,2016/04/04,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,393599,1001,1459725435,国五92#车用汽油,10.727273,55000,54000,5793,2016/04/04,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,526594,1001,1459750286,国五92#车用汽油,56.451613,55800,52800,29806,2016/04/04,1
88645,桂花园加油站‎,重庆市,重庆市,渝中区,重庆市渝中区桂花园路69号,106.544153477,29.5584692245,393599,1001,1459828160,国五92#车用汽油,18.691589,53500,53500,10000,2016/04/05,1
