,,len,len,amin,amin,median,median,sum,sum
,,actual_price,subtotal,actual_price,subtotal,actual_price,subtotal,actual_price,subtotal
date,goods_name,,,,,,,,
2016-05-19,国五95#车用汽油,1,1,58400,52648,58400,52648.0,58400,52648
2016-05-19,国四93#车用汽油,1,1,54900,19891,54900,19891.0,54900,19891
2016-05-20,国五92#车用汽油,1,1,52500,19626,52500,19626.0,52500,19626
2016-05-22,国五0#车用柴油,1,1,51000,29537,51000,29537.0,51000,29537
2016-05-22,国四0#车用柴油,1,1,51900,21000,51900,21000.0,51900,21000
2016-05-24,国五92#车用汽油,2,2,56700,9862,57000,24482.5,114000,48965
2016-05-25,国四93#车用汽油,1,1,56900,18672,56900,18672.0,56900,18672
2016-05-26,国五92#车用汽油,3,3,55800,15000,56300,22798.0,168400,65798
2016-05-27,国四93#车用汽油,1,1,54900,14223,54900,14223.0,54900,14223
2016-05-27,沪五92#汽油,1,1,53500,19926,53500,19926.0,53500,19926
2016-05-28,国五92#车用汽油,1,1,58800,30088,58800,30088.0,58800,30088
2016-05-29,国五92#车用汽油,1,1,56300,24000,56300,24000.0,56300,24000
