stid,stname,province,city,district,address,longitude,latitude,user_id,platform,create_time,goods_name,goods_number,market_price,actual_price,subtotal,date,num
10277,中海油华英加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1027,113.921398,22.494245,76487,1001,1443506758,oil93,51.304348,57500,56500,28974,2015/09/29,1
10277,中海油华英加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1027,113.921398,22.494245,252251,3001,1444297440,国五92#车用汽油,23.474178,63900,59900,14216,2015/10/08,1
10277,中海油华英加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1027,113.921398,22.494245,252143,1001,1444293997,oil93,34.188034,58500,56500,19316,2015/10/08,1
10277,中海油华英加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1027,113.921398,22.494245,252510,1001,1444303647,oil97,49.099836,61100,59100,29018,2015/10/08,1
10277,中海油华英加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1027,113.921398,22.494245,252641,1001,1444306039,国五95#车用汽油,47.217538,59300,59300,27635,2015/10/08,1
10277,中海油华英加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1027,113.921398,22.494245,235235,1001,1444452846,oil93,17.636684,56700,55700,9824,2015/10/10,1
10277,中海油华英加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1027,113.921398,22.494245,261259,1001,1444704987,oil93,20.000000,57500,55500,11100,2015/10/13,1
10277,中海油华英加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1027,113.921398,22.494245,261350,1001,1444707678,国五92#车用汽油,38.166397,61900,56900,23208,2015/10/13,1
10277,中海油华英加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1027,113.921398,22.494245,261198,1001,1444702981,国五92#车用汽油,31.298905,63900,59900,18955,2015/10/13,1
10277,中海油华英加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1027,113.921398,22.494245,261152,1001,1444701567,国五92#车用汽油,57.095159,59900,58400,32976,2015/10/13,1
10277,中海油华英加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1027,113.921398,22.494245,141455,3001,1444713111,国五92#车用汽油,47.513812,54300,54300,25434,2015/10/13,1
10277,中海油华英加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1027,113.921398,22.494245,261563,1001,1444715650,oil97,34.161491,64400,61400,20975,2015/10/13,1
10277,中海油华英加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1027,113.921398,22.494245,181280,1001,1444779902,国五92#车用汽油,124.614568,65900,63900,79356,2015/10/14,1
10277,中海油华英加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1027,113.921398,22.494245,263298,1001,1444791152,国五92#车用汽油,31.796502,62900,59900,19303,2015/10/14,1
10277,中海油华英加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1027,113.921398,22.494245,266339,1001,1444904660,oil97,60.317460,63000,59500,35286,2015/10/15,1
10277,中海油华英加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1027,113.921398,22.494245,260949,1001,1444897684,京五92#汽油,18.484288,54100,54100,9819,2015/10/15,1
10277,中海油华英加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1027,113.921398,22.494245,247728,1001,1444913456,国四93#车用汽油,21.582734,55600,55600,10960,2015/10/15,1
10277,中海油华英加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1027,113.921398,22.494245,183837,1001,1444965514,国五92#车用汽油,31.297710,65500,65500,19885,2015/10/16,1
10277,中海油华英加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1027,113.921398,22.494245,202917,1001,1444955696,京五92#汽油,8.976661,55700,53700,4828,2015/10/16,1
10277,中海油华英加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1027,113.921398,22.494245,146488,1001,1444997814,国五92#车用汽油,37.383178,53500,53500,20000,2015/10/16,1
10277,中海油华英加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1027,113.921398,22.494245,261195,1001,1445087707,oil97,31.055901,64400,61400,19068,2015/10/17,1
10277,中海油华英加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1027,113.921398,22.494245,259304,1001,1444975029,国五92#车用汽油,15.174507,65900,65100,9865,2015/10/16,1
10277,中海油华英加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1027,113.921398,22.494245,211596,1001,1444988955,国五95#车用汽油,68.011527,69400,65400,43418,2015/10/16,1
10277,中海油华英加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1027,113.921398,22.494245,78877,1001,1444909290,oil93,40.940767,57400,54400,22272,2015/10/15,1
10277,中海油华英加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1027,113.921398,22.494245,257503,3001,1444982427,oil93,28.619529,59400,56400,16141,2015/10/16,1
10277,中海油华英加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1027,113.921398,22.494245,211596,1001,1444988756,国五92#车用汽油,48.465267,61900,56900,29470,2015/10/16,1
10277,中海油华英加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1027,113.921398,22.494245,269575,1001,1445007173,oil93,35.353535,59400,56400,19939,2015/10/16,1
10277,中海油华英加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1027,113.921398,22.494245,138582,1001,1445094705,京五92#汽油,32.347505,54100,54100,17183,2015/10/17,1
10277,中海油华英加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1027,113.921398,22.494245,110399,1001,1445065807,国五95#车用汽油,44.688027,59300,59300,26155,2015/10/17,1
10277,中海油华英加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1027,113.921398,22.494245,226728,1001,1445072846,京五92#汽油,32.228361,54300,54300,16854,2015/10/17,1
10277,中海油华英加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1027,113.921398,22.494245,275053,1001,1445171241,oil93,47.863248,58500,56500,27043,2015/10/18,1
10277,中海油华英加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1027,113.921398,22.494245,156703,1001,1445165705,oil93,40.350877,57000,53500,21184,2015/10/18,1
