stid,stname,province,city,district,address,longitude,latitude,user_id,platform,create_time,goods_name,goods_number,market_price,actual_price,subtotal,date,num
10288,中石化海龙珠加油站,广东省,深圳市,南山区,广东省深圳市南山区沙河西路3285号,113.960287,22.584389,62687,1001,1431665965,国五92#车用汽油,16.806723,59500,58100,9700,2015/05/15,1
10288,中石化海龙珠加油站,广东省,深圳市,南山区,广东省深圳市南山区沙河西路3285号,113.960287,22.584389,62686,1001,1431665436,国五92#车用汽油,50.862069,58000,57000,29500,2015/05/15,1
10288,中石化海龙珠加油站,广东省,深圳市,南山区,广东省深圳市南山区沙河西路3285号,113.960287,22.584389,62671,1001,1431663891,国五92#车用汽油,17.241379,58000,57000,10000,2015/05/15,1
10288,中石化海龙珠加油站,广东省,深圳市,南山区,广东省深圳市南山区沙河西路3285号,113.960287,22.584389,62674,1001,1431664307,国五92#车用汽油,17.241379,58000,57000,10000,2015/05/15,1
10288,中石化海龙珠加油站,广东省,深圳市,南山区,广东省深圳市南山区沙河西路3285号,113.960287,22.584389,62742,1001,1431672213,国五92#车用汽油,30.349014,65900,63900,19402,2015/05/15,1
10288,中石化海龙珠加油站,广东省,深圳市,南山区,广东省深圳市南山区沙河西路3285号,113.960287,22.584389,140,1001,1431661822,国五95#车用汽油,66.666667,73500,73500,48020,2015/05/15,1
10288,中石化海龙珠加油站,广东省,深圳市,南山区,广东省深圳市南山区沙河西路3285号,113.960287,22.584389,62774,1001,1431675922,国五92#车用汽油,46.948357,63900,60900,28613,2015/05/15,1
10288,中石化海龙珠加油站,广东省,深圳市,南山区,广东省深圳市南山区沙河西路3285号,113.960287,22.584389,62722,1001,1431671304,oil93,43.550835,65900,62900,27393,2015/05/15,1
10288,中石化海龙珠加油站,广东省,深圳市,南山区,广东省深圳市南山区沙河西路3285号,113.960287,22.584389,62665,1001,1431663220,国五92#车用汽油,57.902973,63900,60900,35290,2015/05/15,1
10288,中石化海龙珠加油站,广东省,深圳市,南山区,广东省深圳市南山区沙河西路3285号,113.960287,22.584389,62659,1001,1431662688,国五92#车用汽油,37.037037,67500,67500,24500,2015/05/15,1
10288,中石化海龙珠加油站,广东省,深圳市,南山区,广东省深圳市南山区沙河西路3285号,113.960287,22.584389,62693,1001,1431666806,oil93,15.174507,65900,62900,9545,2015/05/15,1
10288,中石化海龙珠加油站,广东省,深圳市,南山区,广东省深圳市南山区沙河西路3285号,113.960287,22.584389,62708,1001,1431668625,oil93,30.534351,65500,61500,18779,2015/05/15,1
10288,中石化海龙珠加油站,广东省,深圳市,南山区,广东省深圳市南山区沙河西路3285号,113.960287,22.584389,62777,1001,1431676314,国五92#车用汽油,31.298905,63900,60900,19076,2015/05/15,1
10288,中石化海龙珠加油站,广东省,深圳市,南山区,广东省深圳市南山区沙河西路3285号,113.960287,22.584389,62669,1001,1431663594,国五98#车用汽油,65.862944,78800,78800,50862,2015/05/15,1
