stid,stname,province,city,district,address,longitude,latitude,user_id,platform,create_time,goods_name,goods_number,market_price,actual_price,subtotal,date,num
177373,冠德石油方兴达加油站,广东省,深圳市,南山区,广东省深圳市南山区北环大道辅路,113.985932,22.559302,227,3001,1456295359,国五95#车用汽油,28.612303,69900,69900,20000,2016/02/24,1
177373,冠德石油方兴达加油站,广东省,深圳市,南山区,广东省深圳市南山区北环大道辅路,113.985932,22.559302,358835,3001,1456301254,国五95#车用汽油,28.011204,71400,69400,19339,2016/02/24,1
177373,冠德石油方兴达加油站,广东省,深圳市,南山区,广东省深圳市南山区北环大道辅路,113.985932,22.559302,474179,1001,1456298596,国五92#车用汽油,34.624806,64500,64000,21681,2016/02/24,1
177373,冠德石油方兴达加油站,广东省,深圳市,南山区,广东省深圳市南山区北环大道辅路,113.985932,22.559302,314473,3001,1456297689,国五95#车用汽油,42.016807,71400,69400,29008,2016/02/24,1
177373,冠德石油方兴达加油站,广东省,深圳市,南山区,广东省深圳市南山区北环大道辅路,113.985932,22.559302,464552,3001,1456375018,国五92#车用汽油,42.289348,62900,61900,25592,2016/02/25,1
177373,冠德石油方兴达加油站,广东省,深圳市,南山区,广东省深圳市南山区北环大道辅路,113.985932,22.559302,227,3001,1456295069,国五95#车用汽油,32.573290,61400,61400,19008,2016/02/24,1
177373,冠德石油方兴达加油站,广东省,深圳市,南山区,广东省深圳市南山区北环大道辅路,113.985932,22.559302,474485,1001,1456311970,国五92#车用汽油,1.529052,65400,65400,1000,2016/02/24,1
177373,冠德石油方兴达加油站,广东省,深圳市,南山区,广东省深圳市南山区北环大道辅路,113.985932,22.559302,312391,1001,1456390360,国五92#车用汽油,21.942446,55600,55100,12200,2016/02/25,1
177373,冠德石油方兴达加油站,广东省,深圳市,南山区,广东省深圳市南山区北环大道辅路,113.985932,22.559302,299808,1001,1456356931,oil97,71.186441,59000,56500,40220,2016/02/25,1
177373,冠德石油方兴达加油站,广东省,深圳市,南山区,广东省深圳市南山区北环大道辅路,113.985932,22.559302,130308,1001,1456399714,国五92#车用汽油,50.990991,55500,54500,27256,2016/02/25,1
177373,冠德石油方兴达加油站,广东省,深圳市,南山区,广东省深圳市南山区北环大道辅路,113.985932,22.559302,310271,3001,1456457393,oil93,26.851852,54000,53000,14231,2016/02/26,1
177373,冠德石油方兴达加油站,广东省,深圳市,南山区,广东省深圳市南山区北环大道辅路,113.985932,22.559302,441749,3001,1456404435,国五92#车用汽油,15.974441,62600,60600,9628,2016/02/25,1
177373,冠德石油方兴达加油站,广东省,深圳市,南山区,广东省深圳市南山区北环大道辅路,113.985932,22.559302,294058,3001,1456572110,国五92#车用汽油,28.682171,64500,64000,17960,2016/02/27,1
177373,冠德石油方兴达加油站,广东省,深圳市,南山区,广东省深圳市南山区北环大道辅路,113.985932,22.559302,392729,3001,1456564500,国五92#车用汽油,36.036036,55500,54500,19262,2016/02/27,1
177373,冠德石油方兴达加油站,广东省,深圳市,南山区,广东省深圳市南山区北环大道辅路,113.985932,22.559302,268,3001,1456755211,国五92#车用汽油,30.371775,65900,60900,18222,2016/02/29,1
