merchant_id,stid,stname,province,city,district,address,longitude,latitude,count
10363,10363,中石油中杰加油站,广东省,深圳市,宝安区,广东省深圳市宝安区X231(观光路),114.01370239258002,22.737558364868,10294
164478,164478,平山油站,广东省,惠州市,惠东县,广东省惠州市惠东县新平大道362,114.72185900000001,22.979898000000002,10055
176933,176933,上海北松物资加油站,上海市,上海市,闵行区,上海市闵行区北松公路1835号,121.38159179688,31.036415100098,9945
10276,10276,中海油四海加油站,广东省,深圳市,南山区,广东省深圳市南山区南海大道1088号,113.929401,22.507276,9753
100847,100847,中化石油高桥加油站,湖南省,长沙市,雨花区,湖南省长沙市雨花区马王堆南路,113.031869593,28.1786485465,9569
107434,107434,中海油星城中心加油站,上海市,上海市,嘉定区,上海市嘉定区曹安公路2515,121.34409332275,31.267713546753,9446
10304,10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,9271
177345,177345,中海油泰镇加油站,江苏省,泰州市,高港区,江苏省泰州市高港区泰镇路,119.87570953369,32.293830871581996,9158
143985,143985,宏振加油站,山东省,青岛市,城阳区,山东省青岛市城阳区S210(双元路),120.3666305542,36.272018432617,9124
92116,92116,中石油万玉加油站,北京市,北京市,海淀区,北京市海淀区北四环西路101号,116.28033917200001,39.9770998997,8731
177301,177301,北栅加油站,广东省,东莞市,东莞市市辖区,广东省东莞市东莞市市辖区三五八省道483号,113.72589111328001,22.834312438965,8683
120696,120696,大岭加油站南站,广东省,惠州市,惠东县,广东省惠州市惠东县G324(惠东大道),114.68154469999999,23.02330828,8632
98451,98451,中源石化兴达站,河北省,唐山市,开平区,河北省唐山市开平区开越路,118.25527954101999,39.675727844238,8502
10490,10490,顺达加油站,广东省,深圳市,宝安区,广东省深圳市宝安区根玉路,113.896878,22.728919,8166
163999,163999,顺延蚌物油站,广东省,广州市,白云区,广东省广州市白云区江人二路209,113.2656138,23.30133022,7979
91354,91354,上海亚源加油服务有限公司,上海市,上海市,闵行区,上海市闵行区春申路3301号,121.40352630615,31.110006332397,7881
176515,176515,中海油宝月加油站,广东省,深圳市,南山区,广东省深圳市南山区月亮湾大道,113.884424,22.499696,7851
164421,164421,龙潭油站,广东省,惠州市,惠城区,广东省惠州市惠城区S120(山深线),114.41064140000002,23.06377549,7654
176984,176984,榕航飞机加油站,福建省,福州市,长乐市,福建省福州市长乐市S203,119.49011230469,25.9596118927,7602
176517,176517,中海油宝龙加油加气站,广东省,深圳市,宝安区,广东省深圳市宝安区金龙路,114.04370300000001,22.601381,7594
