date,goods_name,len_p,len_n,min_p,min_n,m_p,m_n,sum_p,sum_n
2015-06-06,oil97,17,17,66500,16979,66500,28298.0,1130500,538098
2015-06-07,oil93,147,147,61500,5164,61500,18779.0,9040500,3049855
2015-06-07,oil97,29,29,66500,9433,66500,28298.0,1928500,860773
2015-06-08,oil93,193,193,59500,2817,61500,18779.0,11841500,4197802
2015-06-08,oil97,34,34,65500,18849,66500,28298.0,2259000,1039828
2015-06-09,oil93,172,172,59500,4685,59500,19677.0,10234000,3712977
2015-06-09,oil97,30,30,65500,9424,65500,28273.0,1965000,815063
2015-06-10,oil93,186,186,59500,1780,59500,19208.5,11067000,4086868
2015-06-10,oil97,28,28,65500,10367,65500,28980.0,1834000,842213
2015-06-11,oil93,194,194,59500,2811,59500,18740.0,11543000,4009059
2015-06-11,oil97,23,23,65500,17435,65500,22925.0,1506500,601775
2015-06-12,oil93,210,210,59500,6278,59500,19644.5,12775800,4515651
2015-06-12,oil97,45,45,62300,9424,65500,28273.0,2877100,1289368
2015-06-13,oil93,183,183,59500,1874,59500,19677.0,10888500,3860506
2015-06-13,oil97,46,46,65500,9424,65500,26530.0,3013000,1176889
2015-06-14,oil93,157,157,59500,5716,59500,18740.0,9341500,3248411
2015-06-14,oil97,30,30,65500,1885,65500,23561.5,1965000,762696
2015-06-15,oil93,221,221,59500,7496,59500,18740.0,13149500,4708527
2015-06-15,oil97,37,37,65500,9424,65500,28273.0,2423500,1000958
2015-06-16,oil93,201,201,59500,4685,59500,19040.0,11959500,4203163
2015-06-16,oil97,33,33,65500,17906,65500,28273.0,2161500,958041
2015-06-17,oil93,213,213,59500,937,59500,18740.0,12673500,4391312
2015-06-17,oil97,39,39,65500,9424,65500,28273.0,2554500,1128468
2015-06-18,oil93,229,229,59500,3195,59500,19209.0,13625500,4908446
2015-06-18,oil97,51,51,65500,9424,65500,28273.0,3340500,1401018
2015-06-19,oil93,239,239,59500,7496,59500,18740.0,14220500,4866707
